App_Store,Category,Type,Content_Rating,Avg_App_Price,Avg_review_count,Avg_User_Rating
Apple,Lifestyle,Paid,4+,2.624146341,966.5609756,3.365853659
Apple,Lifestyle,Paid,9+,2.49,77.5,2.25
Apple,Medical,Free,12+,0,817,4.666666667
Apple,Medical,Free,17+,0,409,3
Apple,Medical,Free,4+,0,0,0
Apple,Medical,Paid,12+,16.53545455,584.9090909,3.818181818
Apple,Medical,Paid,4+,4.99,880.5,3.125
Apple,Music,Free,12+,0,118631,4.06
Apple,Music,Free,17+,0,11705.66667,3.833333333
Apple,Music,Free,4+,0,16299.82353,3.867647059
Apple,Music,Free,9+,0,57116.25,4
Apple,Music,Paid,12+,5.323333333,37530,4
Apple,Music,Paid,17+,0.99,0,0
Apple,Music,Paid,4+,9.70641791,1243.477612,4.074626866
Apple,Navigation,Free,12+,0,154911,4.5
Apple,Navigation,Free,4+,0,51661.57143,2.642857143
Apple,Navigation,Paid,12+,2.99,868,4.5
Apple,Navigation,Paid,17+,0.99,26,4.5
Apple,Navigation,Paid,4+,7.74,1247.35,3.525
Apple,News,Free,12+,0,12143.34783,3.673913043
Apple,News,Free,17+,0,39943.54545,2.727272727
Apple,News,Free,4+,0,19495.5,2.25
Apple,News,Free,9+,0,34,2.5
Apple,News,Paid,12+,2.99,4849.666667,2.666666667
Apple,News,Paid,17+,0.99,7973,4
Apple,News,Paid,4+,1.99,460.5,3.166666667
Apple,News,Paid,9+,3.49,7232,4.375
Apple,Photo & Video,Free,12+,0,119881.9231,4.230769231
Apple,Photo & Video,Free,17+,0,36353.375,3.375
Apple,Photo & Video,Free,4+,0,9345.777778,3.833333333
Apple,Photo & Video,Free,9+,0,4943.4,3.9
Apple,Photo & Video,Paid,12+,2.561428571,2911.142857,4.142857143
Apple,Photo & Video,Paid,17+,4.39,350.8,3.4
Apple,Photo & Video,Paid,4+,2.826363636,2611.048485,3.824242424
Apple,Photo & Video,Paid,9+,1.74,1312.5,3.25
Apple,Productivity,Free,17+,0,9942.666667,2.166666667
Apple,Productivity,Free,4+,0,22490.76471,4.098039216
Apple,Productivity,Free,9+,0,297,4
Apple,Productivity,Paid,12+,0.99,294,3.5
Apple,Productivity,Paid,17+,4.626363636,704.8181818,3.954545455
Apple,Productivity,Paid,4+,7.219166667,2385.208333,4.052083333
Apple,Productivity,Paid,9+,3.656666667,4062.333333,4.166666667
Apple,Reference,Free,12+,0,1727,3
Apple,Reference,Free,17+,0,417,3.75
Apple,Reference,Free,4+,0,121928.7273,4.227272727
Apple,Reference,Paid,12+,2.275714286,190.8571429,3.285714286
Apple,Reference,Paid,17+,2.99,74,3.75
Apple,Reference,Paid,4+,5.105384615,2929.5,4.115384615
Apple,Reference,Paid,9+,2.99,7410,4
Apple,Shopping,Free,12+,0,72678.2,3.933333333
Apple,Shopping,Free,17+,0,5804,2.833333333
Apple,Shopping,Free,4+,0,17662.72308,3.838461538
Apple,Shopping,Free,9+,0,2075,4.5
Apple,Shopping,Paid,4+,1.99,2722,4.5
Apple,Social Networking,Free,12+,0,53935.55172,3.431034483
Apple,Social Networking,Free,17+,0,22839.72222,3.291666667
Apple,Social Networking,Free,4+,0,118138.1136,3.693181818
Apple,Social Networking,Free,9+,0,922,4.5
Apple,Social Networking,Paid,12+,0.99,165,3.666666667
Apple,Social Networking,Paid,17+,3.99,898.3333333,3.75
Apple,Social Networking,Paid,4+,2.24,186.1666667,2.666666667
Apple,Sports,Free,12+,0,3999.909091,3.409090909
Apple,Sports,Free,17+,0,24142.91667,3
Apple,Sports,Free,4+,0,26678.7234,2.936170213
Apple,Sports,Paid,12+,1.99,30.75,3.375
Apple,Sports,Paid,17+,1.99,113.3333333,3.166666667
Apple,Sports,Paid,4+,3.528461538,322.5,3.192307692
Apple,Sports,Paid,9+,1.49,16.5,1.75
Apple,Travel,Free,12+,0,64886.75,3.75
Apple,Travel,Free,17+,0,145549,4.5
Apple,Travel,Free,4+,0,21948.63636,3.333333333
Apple,Travel,Paid,12+,1.99,318.3333333,4.5
Apple,Travel,Paid,4+,5.056666667,662.3333333,3.566666667
Apple,Travel,Paid,9+,2.99,1093,4
Apple,Utilities,Free,12+,0,10521.2,4.1
Apple,Utilities,Free,17+,0,39154.73333,3.966666667
Apple,Utilities,Free,4+,0,14715.22034,3.347457627
Apple,Utilities,Free,9+,0,1466.6,4.4
Apple,Utilities,Paid,12+,1.656666667,194.5833333,2.625
Apple,Utilities,Paid,17+,2.39,2294.45,3.325
Apple,Utilities,Paid,4+,3.33375,1306.260417,3.25
Apple,Utilities,Paid,9+,1.847142857,214.5714286,3.785714286
Apple,Weather,Free,17+,0,22,3.5
Apple,Weather,Free,4+,0,52278.67857,3.357142857
Apple,Weather,Paid,12+,3.24,2028,4
Apple,Weather,Paid,17+,2.99,2104,4.5
Apple,Weather,Paid,4+,2.818571429,3513.114286,3.8
