Serial_number,App_Size,App_Price,Installs,User_Rating,Content_Rating,Category,currency,Type
196,229272576,1.99,9286,4,4+,Games,USD,
197,131000320,0,190670,3.5,17+,Sports,USD,
198,53097472,19.99,2429,4.5,4+,Navigation,USD,
199,3375104,3.99,0,0,4+,Finance,USD,
200,108166144,0,12811,3.5,4+,Navigation,USD,
201,89187328,1.99,32338,4,4+,Photo & Video,USD,
202,13647872,4.99,262,4,12+,Games,USD,
203,123544576,0.99,9657,4.5,4+,Games,USD,
204,1608704,2.99,18332,4.5,4+,Games,USD,
205,50169856,0,53620,4,12+,Health & Fitness,USD,
206,101181440,0.99,38533,2.5,4+,Photo & Video,USD,
207,15329280,0.99,40,3.5,4+,Food & Drink,USD,
208,31845376,1.99,472,4,4+,Games,USD,
209,135032832,0,303856,4.5,4+,Food & Drink,USD,
210,54648832,0,2070,2.5,4+,Sports,USD,
211,8432232,2.99,7941,4,4+,Games,USD,
212,230720512,0,136833,3.5,12+,Health & Fitness,USD,
213,80211968,0,112886,3.5,12+,News,USD,
214,148201472,0,26353,3.5,4+,Shopping,USD,
215,20795392,0,171055,3,12+,Entertainment,USD,
216,27934720,2.99,4540,4,9+,Games,USD,
217,208309248,0,1926,3,4+,Lifestyle,USD,
218,33812480,3.99,14345,4,12+,News,USD,
219,20298752,4.99,1340,4.5,4+,Lifestyle,USD,
220,101346304,3.99,31912,4.5,4+,Business,USD,
221,210569216,0,354058,3.5,17+,News,USD,
222,110198784,0,248,4,4+,Travel,USD,
223,78047232,0,11691,3.5,12+,News,USD,
224,9946112,1.99,381,3,12+,Entertainment,USD,
225,44652544,0,18884,4,9+,Entertainment,USD,
226,30369792,2.99,7410,4,9+,Reference,USD,
227,376171520,1.99,15175,4,4+,Games,USD,
228,96815104,0.99,3166,4,4+,Business,USD,
229,169138176,0,88885,4.5,12+,Shopping,USD,
230,364490752,9.99,882,5,12+,Games,USD,
231,44135424,3.99,1729,4,17+,Lifestyle,USD,
232,112074752,0,43682,3.5,4+,Sports,USD,
233,98942976,0.99,861,2,4+,Entertainment,USD,
234,77686784,0,7469,3.5,12+,Health & Fitness,USD,
235,94496768,0,4186,3.5,4+,Shopping,USD,
236,204959744,0,4885,3.5,12+,Entertainment,USD,
237,32796672,4.99,3970,4,17+,Games,USD,
238,105009152,0,135744,4,4+,Music,USD,
239,22562816,0,18841,4,4+,Social Networking,USD,
240,52632576,3.99,1438,4,4+,Navigation,USD,
241,151388160,0,10298,4.5,4+,Health & Fitness,USD,
242,47323136,0.99,1842,3.5,4+,Productivity,USD,
243,59846656,1.99,2548,4,4+,Education,USD,
244,27807744,0.99,319,3,12+,Games,USD,
245,60976128,0,34507,3.5,12+,Shopping,USD,
